date,OWA-Guardian,OWA-Sentinel,OWA-Pragmatist,OWA-Analyst,OWA-Strategist,OWA-Adventurer,OWA-Innovator,OWA-Visionary,1/N,MinVar,MaxSharpe,MLP,ANFIS
2019-07-08,1.0293206723188497,1.0534416615690556,1.061210812883733,1.0719285875019908,1.0846214456865815,1.0855722107408146,1.0890899335745787,1.0940273514826735,1.078756044961307,1.078756044961307,1.1028050510354606,1.0536666740363716,1.0691607648642842
2019-07-09,1.0296519255668664,1.0537389145538292,1.0615396595064783,1.0722216767662376,1.0848883494847892,1.0857826088092775,1.0892758848706316,1.0941434668671837,1.0789110487937206,1.0789110487937206,1.1028050510354606,1.0536666740363716,1.0691607648642842
2019-07-10,1.03674078738715,1.0597942110824934,1.066702041902196,1.0766254738246517,1.0887576254867242,1.089583342850798,1.0929219652261315,1.0963615510195421,1.0877541971401663,1.0877541971401663,1.1141742320799024,1.0601934415142773,1.0796969267385503
2019-07-11,1.0505750574364932,1.0722896974829306,1.0739258301797134,1.0831142029164658,1.0946738841628791,1.0972709360590016,1.100668309392628,1.105017717576457,1.0984720635929162,1.0984720635929162,1.1258519206411621,1.068321654111632,1.096610691806586
2019-07-12,1.0502123684938476,1.0722178759348382,1.073601216790211,1.0832286897129135,1.09519468127796,1.098252973923679,1.1016555676514141,1.1058812193446441,1.0955119314958688,1.0955119314958688,1.124323751580641,1.0650468992983861,1.0936377642030595
2019-07-15,1.0498117535757054,1.0737202882143622,1.0807420705245874,1.0912119040525547,1.1038035353920193,1.104460290714808,1.1082043376639528,1.107695056893422,1.0991823300228223,1.0991823300228223,1.129755626581683,1.074207002611112,1.0941813265905518
2019-07-16,1.050183839776163,1.074053967752827,1.0807420705245874,1.0912119040525547,1.1038035353920193,1.1046960429503743,1.1084127282010818,1.1078245374283877,1.0993873640603986,1.0993873640603986,1.130155284191969,1.074207002611112,1.0945460366430009
2019-07-17,1.062820719164032,1.0864056844676269,1.0946583490022235,1.1047696156074995,1.1172166251568874,1.116147817445212,1.1194615581343774,1.1159048640953129,1.109974991118762,1.109974991118762,1.1418183455272228,1.0882072032923595,1.1058239744831229
2019-07-18,1.0600871924514053,1.0835151978262925,1.086121530962419,1.0969007716444108,1.1098765295344777,1.1137971323094815,1.1176485636063396,1.1183181243388751,1.1064992735722543,1.1064992735722543,1.1447942330667085,1.0818687420975919,1.1050244658595985
2019-07-19,1.0534360917461658,1.0755734988437489,1.0770792849155226,1.0868282000022296,1.0989437137147975,1.1018137024184347,1.1045079953608208,1.1049209983235357,1.0956313757057643,1.0956313757057643,1.1348813877695756,1.0701494023064533,1.0933813329058928
2019-07-22,1.0535183840995475,1.0756658751203345,1.078019323058892,1.0878085745151618,1.1000203130526185,1.1043958343440172,1.1064636641371588,1.1050481872653588,1.0977195223636447,1.0977195223636447,1.138422843622644,1.0721086246563674,1.0943019886627945
