grupo,inversor,n,mean_gap,mean_abs_gap,corr_gap_surprise,lambda_hat,migraciones,perfil_final,riqueza_final
emocional,2,3,-0.03704412849065122,0.1768287947444529,0.9548848073823385,1.4454955407790375,3,Guardian,1.9358179876426855
emocional,3,1,-0.1924807860877128,0.1924807860877128,0.0,,2,Guardian,1.5621293139859316
emocional,4,1,-0.1944729151582807,0.1944729151582807,0.0,,2,Guardian,1.6005815629845952
emocional,5,1,-0.2816693756676085,0.2816693756676085,0.0,,1,Guardian,1.647980543357047
emocional,6,1,-0.26955871131923637,0.26955871131923637,0.0,,2,Guardian,1.7376971115114788
emocional,7,3,-0.05322023316165434,0.18517364787191726,0.9983578682470546,1.7847116430123386,5,Sentinel,2.1140301228211316
emocional,8,3,-0.01837052758238077,0.15400398167899446,0.9935426942585318,1.2583896328995716,3,Guardian,2.0258986555898733
emocional,9,10,0.09644733107396394,0.12378697416299018,0.6419771595252441,0.3929188154907923,8,Guardian,1.8990105110430744
emocional,10,1,-0.17602907189362682,0.17602907189362682,0.0,,2,Guardian,1.6677772231080772
emocional,11,4,-0.0026871964403140866,0.17184988465631526,0.7107253611635391,0.07810494592817298,3,Guardian,1.7916586176651212
emocional,12,3,-0.04068833740106461,0.1973858779850386,0.6811211272628299,2.7970228582032393,4,Guardian,1.9067194218918089
emocional,13,3,-0.039363712654111704,0.16012821512332623,0.7215581787042036,2.9966333293667895,3,Guardian,1.8652076283011811
emocional,14,1,-0.2907248373055902,0.2907248373055902,0.0,,1,Guardian,1.6827099162878207
emocional,15,3,-0.0864680754258762,0.17332738468529238,0.8967977897584118,1.7570198397046755,3,Guardian,1.8958322167957549
emocional,16,1,-0.07515468940417325,0.07515468940417325,0.0,,2,Guardian,1.6197034850856058
emocional,17,1,-0.29326146391079255,0.29326146391079255,0.0,,2,Guardian,1.615670123025131
emocional,18,1,-0.1757795477950359,0.1757795477950359,0.0,,1,Guardian,1.5238547584608781
emocional,19,3,-0.05526560343165244,0.18953538595130281,0.8330912213692419,2.0034218931009944,3,Guardian,1.8123181265191095
emocional,20,1,-0.1789392545537969,0.1789392545537969,0.0,,2,Guardian,1.5482936197671244
emocional,21,4,-0.02872221609492072,0.16700019241820419,0.7873103568811678,0.2244442566388227,3,Guardian,1.7916586176651212
emocional,22,3,-0.08039735445118706,0.2141422652970344,0.957441167096504,1.7689011120390443,3,Guardian,1.9140922865745589
emocional,23,3,-0.0728453773915744,0.19814859105375016,0.6081233520626449,2.4600270161086724,4,Guardian,1.8768133758653622
emocional,24,3,-0.0524125300236841,0.17981685677491344,0.6738880588786175,2.6790019963752556,4,Guardian,1.9596565336430047
emocional,25,3,-0.07242624246102534,0.16933790113552738,0.8001629487363462,1.8394449523086398,3,Guardian,1.9358179876426855
emocional,26,4,-0.022463542549363842,0.12774860254421605,0.6030171194308898,0.14420969133169115,3,Guardian,1.7916586176651212
emocional,27,3,0.007398573323141311,0.17098232279170913,0.9289056487534364,1.0399103397321403,4,Guardian,2.0505238407095012
emocional,28,2,0.033534031232819034,0.11451663366242901,0.0,1.5155948073504297,3,Guardian,1.838169279204506
emocional,29,4,0.06629186333968548,0.13595241505038871,0.8362676999000003,0.09711872088367274,2,Guardian,1.648008879297092
